T,MSD
2.4,17.9812
2.405,18.0419
2.41,18.1027
2.415,18.1634
2.42,18.2242
2.425,18.285
2.43,18.3458
2.435,18.4066
2.44,18.4675
2.445,18.5284
2.45,18.5894
2.455,18.6505
2.46,18.7116
2.465,18.7728
2.47,18.8341
2.475,18.8954
2.48,18.9569
2.485,19.0184
2.49,19.0801
2.495,19.1418
2.5,19.2037
2.505,19.2656
2.51,19.3277
2.515,19.3898
2.52,19.452
2.525,19.5143
2.53,19.5767
2.535,19.6391
2.54,19.7017
2.545,19.7643
2.55,19.8269
2.555,19.8897
2.56,19.9526
2.565,20.0155
2.57,20.0785
2.575,20.1416
2.58,20.2047
2.585,20.2678
2.59,20.3308
2.595,20.3939
2.6,20.4569
2.605,20.5198
2.61,20.5826
2.615,20.6454
2.62,20.708
2.625,20.7706
2.63,20.8332
2.635,20.8957
2.64,20.9582
2.645,21.0206
2.65,21.0832
2.655,21.1457
2.66,21.2083
2.665,21.271
2.67,21.3337
2.675,21.3965
2.68,21.4594
2.685,21.5223
2.69,21.5854
2.695,21.6484
2.7,21.7116
2.705,21.7749
2.71,21.8382
2.715,21.9017
2.72,21.9652
2.725,22.0288
2.73,22.0925
2.735,22.1563
2.74,22.2201
2.745,22.284
2.75,22.348
2.755,22.412
2.76,22.476
2.765,22.5401
2.77,22.6042
2.775,22.6683
2.78,22.7323
2.785,22.7963
2.79,22.8604
2.795,22.9244
2.8,22.9884
2.805,23.0523
2.81,23.1163
2.815,23.1803
2.82,23.2442
2.825,23.3082
2.83,23.3722
2.835,23.4363
2.84,23.5004
2.845,23.5645
2.85,23.6287
2.855,23.6929
2.86,23.7571
2.865,23.8214
2.87,23.8857
2.875,23.95
2.88,24.0143
2.885,24.0787
2.89,24.143
2.895,24.2072
2.9,24.2715
2.905,24.3358
2.91,24.4
2.915,24.4643
2.92,24.5285
2.925,24.5927
2.93,24.6569
2.935,24.7211
2.94,24.7853
2.945,24.8495
2.95,24.9137
2.955,24.9779
2.96,25.0422
2.965,25.1066
2.97,25.171
2.975,25.2354
2.98,25.3
2.985,25.3646
2.99,25.4292
2.995,25.494
3,25.5588
3.005,25.6237
3.01,25.6886
3.015,25.7536
3.02,25.8187
3.025,25.8838
3.03,25.9489
3.035,26.014
3.04,26.0792
3.045,26.1444
3.05,26.2096
3.055,26.2749
3.06,26.3402
3.065,26.4055
3.07,26.4709
3.075,26.5363
3.08,26.6017
3.085,26.6671
3.09,26.7325
3.095,26.7979
3.1,26.8633
3.105,26.9287
3.11,26.994
3.115,27.0593
3.12,27.1246
3.125,27.19
3.13,27.2553
3.135,27.3207
3.14,27.3861
3.145,27.4516
3.15,27.517
3.155,27.5825
3.16,27.6481
3.165,27.7136
3.17,27.7793
3.175,27.845
3.18,27.9108
3.185,27.9767
3.19,28.0427
3.195,28.1088
3.2,28.175
3.205,28.2412
3.21,28.3075
3.215,28.3738
3.22,28.4403
3.225,28.5067
3.23,28.5732
3.235,28.6398
3.24,28.7064
3.245,28.7731
3.25,28.8397
3.255,28.9063
3.26,28.973
3.265,29.0396
3.27,29.1063
3.275,29.1729
3.28,29.2396
3.285,29.3063
3.29,29.3731
3.295,29.4399
3.3,29.5068
3.305,29.5737
3.31,29.6407
3.315,29.7078
3.32,29.775
3.325,29.8422
3.33,29.9095
3.335,29.9768
3.34,30.0441
3.345,30.1114
3.35,30.1788
3.355,30.2462
3.36,30.3136
3.365,30.381
